"Movie_ID","Movie","Release_date","Distributor","MPAA_rating","Runtime","Production_budget","Genre1","Genre2","Genre3","imdb.com_rating","Country","Opening_revenues","Opening_screens","Opening_revenues_indexed","Opening_screens_indexed","Opening_revenues_indexed_transformed","Opening_screens_indexed_transformed"
200,"Insidious","4/1/2011","FD","PG-13",98,1.5,"Drama","Horror","Mystery",6.8,"Netherlands",179741,32,0.046810368,0.134453782,-3.013709151,-1.862140266
200,"Insidious","4/1/2011","FD","PG-13",98,1.5,"Drama","Horror","Mystery",6.8,"USA",13271464,2408,0.07844145,0.5504,-2.463713824,0.202286988
201,"Insidious Chapter 2","9/13/2013","FD","PG-13",105,5,"Horror","Thriller"," ",6.6,"Netherlands",281913,56,0.116182738,0.221343874,-2.02908604,-1.257852038
201,"Insidious Chapter 2","9/13/2013","FD","PG-13",105,5,"Horror","Thriller"," ",6.6,"USA",40272103,3049,0.231256705,0.716905714,-1.201228724,0.929164321
202,"Instructions Not Included","8/30/2013","LGF","PG-13",115,NA,"Comedy","Drama"," ",7.6,"Netherlands",NA,NA,NA,NA,NA,NA
202,"Instructions Not Included","8/30/2013","LGF","PG-13",115,NA,"Comedy","Drama"," ",7.6,"USA",7846426,348,0.045056962,0.081824594,-3.053724174,-2.417810582
203,"Interstellar","11/5/2014","Par.","PG-13",169,165,"Adventure","Drama","Sci-Fi",8.6,"Netherlands",868376,106,0.376832248,0.469026549,-0.503015626,-0.124052649
203,"Interstellar","11/5/2014","Par.","PG-13",169,165,"Adventure","Drama","Sci-Fi",8.6,"USA",47510360,3561,0.389756211,0.823543016,-0.448337086,1.540538652
204,"Into The Storm","8/8/2014","WB","PG-13",89,50,"Action","Thriller"," ",5.8,"Netherlands",449515,91,0.195067284,0.402654867,-1.417414146,-0.394415272
204,"Into The Storm","8/8/2014","WB","PG-13",89,50,"Action","Thriller"," ",5.8,"USA",17346427,3434,0.14230323,0.794172063,-1.796290422,1.350259579
205,"Into the Woods","12/25/2014","BV","PG",124,50,"Adventure","Fantasy","Musical",6,"Netherlands",126548,40,0.054915575,0.17699115,-2.845477258,-1.53686722
205,"Into the Woods","12/25/2014","BV","PG",124,50,"Adventure","Fantasy","Musical",6,"USA",31051923,2440,0.254737701,0.564292322,-1.073501845,0.258600863
206,"Iron Man 2","5/7/2010","Par.","PG-13",125,200,"Action","Adventure","Sci-Fi",7,"Netherlands",698020,83,0.229376354,0.345833333,-1.211835995,-0.637405198
206,"Iron Man 2","5/7/2010","Par.","PG-13",125,200,"Action","Adventure","Sci-Fi",7,"USA",128122480,4380,1,0.980304387,NA,3.907467189
